name|version|usedBy|authors|license|package site
Thrower|4.1.3|AccountsService, CertificateProvisionService, EmailService, Gator, IDXService, ImageService, IndexCreationService, Infrastructure, JWTService, KeyEncryptionService, KeyManagementService, NotificationsService, OpenIdProviderService, OpenIdRPService, PartnersService, PasswordService, PolicyService, RBAService, ReportsService, SamlSpService, SchemaService, ScreenSetsService, SessionService, SiteConfigService, SiteConfigService\HierarchyService, SiteConfigService\SetSiteConfigService, SiteConfigService\SiteConfigGetterService, SiteGroupService, SocialService, TFAProvidersService, TFAService, TokenService, UserIdService, UserManagement, USMService|Alessio Parma <alessio.parma@gmail.com>|http://opensource.org/licenses/MIT|https://github.com/pomma89/Thrower
Troschuetz.Random|4.1.3|AccountsService, CertificateProvisionService, EmailService, Gator, IDXService, ImageService, IndexCreationService, Infrastructure, JWTService, KeyEncryptionService, KeyManagementService, NotificationsService, OpenIdProviderService, OpenIdRPService, PartnersService, PasswordService, PolicyService, RBAService, ReportsService, SamlSpService, SchemaService, ScreenSetsService, SessionService, SiteConfigService, SiteConfigService\HierarchyService, SiteConfigService\SetSiteConfigService, SiteConfigService\SiteConfigGetterService, SiteGroupService, SocialService, TFAProvidersService, TFAService, TokenService, UserIdService, UserManagement, USMService|Stefan Troschütz <stefan@troschuetz.de>|http://opensource.org/licenses/MIT|https://github.com/pomma89/Troschuetz.Random
ZooKeeperNetEx|3.4.9.4|AccountsService, EmailService, ImageService, ImportFriendsService, IndexCreationService, Infrastructure, JWTService, microdot, NotificationsService, OpenIdProviderService, OpenIdRPService, PartnersService, PasswordService, PolicyService, RBAService, ReportsService, RequestService, SamlSpService, SchemaService, ScreenSetsService, SessionService, SiteConfigService, SiteConfigService\HierarchyService, SiteConfigService\SetSiteConfigService, SiteConfigService\SiteConfigGetterService, SiteGroupService, SitesService, SocialService, SubscriptionService, TFAProvidersService, TFAService, TokenService, UserIdService, UserManagement, USMService|Shay Hazor|http://www.apache.org/licenses/LICENSE-2.0|https://github.com/shayhatsor/zookeeper
AWSSDK.CertificateManager|3.1.4.1|CertificateProvisionService|Amazon Web Services|http://aws.amazon.com/apache2.0/|https://github.com/aws/aws-sdk-net/
AWSSDK.CloudFront|3.1.7|CertificateProvisionService|Amazon Web Services|http://aws.amazon.com/apache2.0/|https://github.com/aws/aws-sdk-net/
AWSSDK.Core|3.1.11|CertificateProvisionService, ImageService|Amazon Web Services|http://aws.amazon.com/apache2.0/|https://github.com/aws/aws-sdk-net/
AWSSDK.Route53|3.1.6|CertificateProvisionService|Amazon Web Services|http://aws.amazon.com/apache2.0/|https://github.com/aws/aws-sdk-net/
DNS|1.2.2|CertificateProvisionService|Mirza Kapetanovic||https://github.com/kapetan/dns
Mapster|1.14.0|Common|eric_swann||https://github.com/eswann/Mapster
OoMapper|0.2.0.33|Common|hazzik||http://github.com/hazzik/OoMapper
TinyMapper|2.0.1|Common|Sergey Morenko|https://github.com/TinyMapper/TinyMapper/blob/master/LICENSE|http://tinymapper.net/
valueinjecter|3.0.1.1|Common|Valentin Plamadeala, Vadim Plamadeala|https://github.com/omuleanu/ValueInjecter/blob/master/LICENSE|https://github.com/omuleanu/ValueInjecter
Microsoft.NETCore.Platforms|1.1.0|EmailService, Gator, Infrastructure, JWTService, microdot, NotificationsService, OpenIdProviderService, PartnersService, PasswordService, RBAService, SchemaService, ScreenSetsService, SessionService, UserManagement, USMService|Microsoft|http://go.microsoft.com/fwlink/?LinkId=329770|https://dot.net/
AWSSDK|2.3.55.2|Gator, ImageService|Amazon Web Services|http://aws.amazon.com/apache2.0/|http://aws.amazon.com/sdkfornet/
Confluent.Kafka|0.11.0-RC1|Gator, Infrastructure, JWTService, KeyManagementService, SamlSpService, SessionService|Confluent Inc., Andreas Heider|https://github.com/confluentinc/confluent-kafka-dotnet/blob/master/LICENSE|https://github.com/confluentinc/confluent-kafka-dotnet/
Dapper|1.50.2|Gator, Infrastructure, KeyManagementService, PartnersService, SitesService|Sam Saffron,  Marc Gravell,  Nick Craver|http://www.apache.org/licenses/LICENSE-2.0|https://github.com/StackExchange/Dapper
EnyimMemcached|2.16.0|Gator|Attila Kiskó|http://www.apache.org/licenses/LICENSE-2.0|https://github.com/enyim/EnyimMemcached
librdkafka.redist|0.11.0-RC3|Gator, Infrastructure, JWTService, SamlSpService, SessionService|Magnus Edenhill,  edenhill|https://github.com/edenhill/librdkafka/blob/master/LICENSES.txt|https://github.com/edenhill/librdkafka
Libuv|1.9.2|Gator|Libuv|https://raw.githubusercontent.com/aspnet/libuv-package/dev/content/License.txt|
Metrics.NET.InfluxDbReporting|0.5.0|Gator, Infrastructure, JWTService, KeyManagementService, SamlSpService, SessionService|Jason O'Bryan,  The Recognos Metrics.NET Team|https://github.com/Recognos/Metrics.NET.InfluxDB/blob/master/LICENSE|https://github.com/Recognos/Metrics.NET.InfluxDB
Microsoft.AspNetCore.Buffering|0.2.2|Gator|Microsoft|http://www.microsoft.com/web/webpi/eula/net_library_eula_enu.htm|http://www.asp.net/
Microsoft.AspNetCore.Diagnostics|1.1.2|Gator|Microsoft|http://www.microsoft.com/web/webpi/eula/net_library_eula_enu.htm|http://www.asp.net/
Microsoft.AspNetCore.Diagnostics.Abstractions|1.1.2|Gator|Microsoft|http://www.microsoft.com/web/webpi/eula/net_library_eula_enu.htm|http://www.asp.net/
Microsoft.AspNetCore.Hosting|1.1.2|Gator|Microsoft|http://www.microsoft.com/web/webpi/eula/net_library_eula_enu.htm|http://www.asp.net/
Microsoft.AspNetCore.Hosting.Abstractions|1.1.2|Gator|Microsoft|http://www.microsoft.com/web/webpi/eula/net_library_eula_enu.htm|http://www.asp.net/
Microsoft.AspNetCore.Hosting.Server.Abstractions|1.1.2|Gator|Microsoft|http://www.microsoft.com/web/webpi/eula/net_library_eula_enu.htm|http://www.asp.net/
Microsoft.AspNetCore.Http|1.1.2|Gator|Microsoft|http://www.microsoft.com/web/webpi/eula/net_library_eula_enu.htm|http://www.asp.net/
Microsoft.AspNetCore.Http.Abstractions|1.1.2|Gator|Microsoft|http://www.microsoft.com/web/webpi/eula/net_library_eula_enu.htm|http://www.asp.net/
Microsoft.AspNetCore.Http.Extensions|1.1.2|Gator|Microsoft|http://www.microsoft.com/web/webpi/eula/net_library_eula_enu.htm|http://www.asp.net/
Microsoft.AspNetCore.Http.Features|1.1.2|Gator|Microsoft|http://www.microsoft.com/web/webpi/eula/net_library_eula_enu.htm|http://www.asp.net/
Microsoft.AspNetCore.Server.Kestrel|1.1.2|Gator|Microsoft|http://www.microsoft.com/web/webpi/eula/net_library_eula_enu.htm|http://www.asp.net/
Microsoft.AspNetCore.Server.Kestrel.Https|1.1.2|Gator|Microsoft|http://www.microsoft.com/web/webpi/eula/net_library_eula_enu.htm|http://www.asp.net/
Microsoft.AspNetCore.WebUtilities|1.1.2|Gator|Microsoft|http://www.microsoft.com/web/webpi/eula/net_library_eula_enu.htm|http://www.asp.net/
Microsoft.Extensions.Configuration|1.1.2|Gator|Microsoft|http://www.microsoft.com/web/webpi/eula/net_library_eula_enu.htm|http://www.asp.net/
Microsoft.Extensions.Configuration.Abstractions|1.1.2|Gator|Microsoft|http://www.microsoft.com/web/webpi/eula/net_library_eula_enu.htm|http://www.asp.net/
Microsoft.Extensions.Configuration.EnvironmentVariables|1.1.2|Gator|Microsoft|http://www.microsoft.com/web/webpi/eula/net_library_eula_enu.htm|http://www.asp.net/
Microsoft.Extensions.FileProviders.Abstractions|1.1.1|Gator|Microsoft|http://www.microsoft.com/web/webpi/eula/net_library_eula_enu.htm|http://www.asp.net/
Microsoft.Extensions.FileProviders.Physical|1.1.1|Gator|Microsoft|http://www.microsoft.com/web/webpi/eula/net_library_eula_enu.htm|http://www.asp.net/
Microsoft.Extensions.FileSystemGlobbing|1.1.1|Gator|Microsoft|http://www.microsoft.com/web/webpi/eula/net_library_eula_enu.htm|http://www.asp.net/
Microsoft.Extensions.Logging|1.1.2|Gator|Microsoft|http://www.microsoft.com/web/webpi/eula/net_library_eula_enu.htm|http://www.asp.net/
Microsoft.Extensions.Logging.Abstractions|1.1.2|Gator|Microsoft|http://www.microsoft.com/web/webpi/eula/net_library_eula_enu.htm|http://www.asp.net/
Microsoft.Extensions.Logging.Console|1.1.2|Gator|Microsoft|http://www.microsoft.com/web/webpi/eula/net_library_eula_enu.htm|http://www.asp.net/
Microsoft.Extensions.ObjectPool|1.1.1|Gator|Microsoft|http://www.microsoft.com/web/webpi/eula/net_library_eula_enu.htm|http://www.asp.net/
Microsoft.Extensions.Options|1.1.2|Gator|Microsoft|http://www.microsoft.com/web/webpi/eula/net_library_eula_enu.htm|http://www.asp.net/
Microsoft.Extensions.PlatformAbstractions|1.1.0|Gator|Microsoft|http://www.microsoft.com/web/webpi/eula/net_library_eula_enu.htm|http://www.asp.net/
Microsoft.Extensions.Primitives|1.1.1|Gator|Microsoft|http://www.microsoft.com/web/webpi/eula/net_library_eula_enu.htm|http://www.asp.net/
Microsoft.Framework.Caching.Abstractions|1.0.0-beta8|Gator|Microsoft|http://www.microsoft.com/web/webpi/eula/net_library_eula_enu.htm|http://www.asp.net/
Microsoft.Framework.Caching.Memory|1.0.0-beta8|Gator|Microsoft|http://www.microsoft.com/web/webpi/eula/net_library_eula_enu.htm|http://www.asp.net/
Microsoft.Framework.Configuration|1.0.0-beta8|Gator|Microsoft|http://www.microsoft.com/web/webpi/eula/net_library_eula_enu.htm|http://www.asp.net/
Microsoft.Framework.Configuration.Abstractions|1.0.0-beta8|Gator|Microsoft|http://www.microsoft.com/web/webpi/eula/net_library_eula_enu.htm|http://www.asp.net/
Microsoft.Framework.Configuration.Binder|1.0.0-beta8|Gator|Microsoft|http://www.microsoft.com/web/webpi/eula/net_library_eula_enu.htm|http://www.asp.net/
Microsoft.Framework.DependencyInjection.Abstractions|1.0.0-beta8|Gator|Microsoft|http://www.microsoft.com/web/webpi/eula/net_library_eula_enu.htm|http://www.asp.net/
Microsoft.Framework.OptionsModel|1.0.0-beta8|Gator|Microsoft|http://www.microsoft.com/web/webpi/eula/net_library_eula_enu.htm|http://www.asp.net/
Microsoft.Framework.Primitives|1.0.0-beta8|Gator|Microsoft|http://www.microsoft.com/web/webpi/eula/net_library_eula_enu.htm|http://www.asp.net/
Microsoft.Net.Http.Headers|1.1.2|Gator|Microsoft|http://www.microsoft.com/web/webpi/eula/net_library_eula_enu.htm|http://www.asp.net/
Polly|5.2.0|Gator, IndexCreationService, RBAService|Michael Wolfenden,  App vNext|https://raw.github.com/App-vNext/Polly/master/LICENSE.txt|https://github.com/App-vNext/Polly
RichardSzalay.MockHttp|1.5.0|Gator, Infrastructure, microdot|Richard Szalay|https://github.com/richardszalay/mockhttp/blob/master/LICENSE|https://github.com/richardszalay/mockhttp
Shouldly|2.8.3|Gator, IDXService, ImageService, ImportFriendsService, IndexCreationService, Infrastructure, JWTService, KeyManagementService, microdot, OpenIdProviderService, ReportsService, SamlSpService, SchemaService, SessionService, SocialService, TokenService, UserManagement|Shouldly|https://github.com/shouldly/shouldly/blob/master/LICENSE.txt|http://shouldly.github.com/
Antlr4.Runtime|4.3.0|IDXService, Infrastructure|Sam Harwell,  Terence Parr|https://raw.github.com/sharwell/antlr4cs/master/LICENSE.txt|https://github.com/sharwell/antlr4cs
BouncyCastle|1.8.1|IDXService, TFAProvidersService, TFAService|Bouncy Castle Project Contributors|http://www.bouncycastle.org/csharp/licence.html|http://www.bouncycastle.org/csharp/
Newtonsoft.Json.Schema|2.0.10|IDXService|Newtonsoft|https://raw.github.com/JamesNK/Newtonsoft.Json.Schema/master/LICENSE.md|http://www.newtonsoft.com/jsonschema
AWSSDK.S3|3.3.5.13|ImageService|Amazon Web Services|http://aws.amazon.com/apache2.0/|https://github.com/aws/aws-sdk-net/
Microsoft.Tpl.Dataflow|4.5.24|ImageService, ImportFriendsService, OpenIdRPService, RequestService, SiteConfigService, SiteConfigService\HierarchyService, SiteConfigService\SetSiteConfigService, SiteConfigService\SiteConfigGetterService, SitesService, SubscriptionService|Microsoft|http://go.microsoft.com/fwlink/?LinkId=329770|http://go.microsoft.com/fwlink/?LinkID=309704
NUnitTestAdapter|2.1.1|ImageService, UserManagement|NUnit Software|http://visualstudiogallery.msdn.microsoft.com/site/6ab922d0-21c0-4f06-ab5f-4ecd1fe7175d/eula?licenseType=None|http://nunit.org/index.php?p=vsTestAdapter&r=2.6
AsyncOAuth|0.8.4|ImportFriendsService, SocialService|neuecc|http://opensource.org/licenses/MIT|http://github.com/neuecc/AsyncOAuth
EnterpriseLibrary.TransientFaultHandling|6.0.1304|ImportFriendsService, RequestService, SiteConfigService, SiteConfigService\HierarchyService, SiteConfigService\SetSiteConfigService, SiteConfigService\SiteConfigGetterService, SitesService, SubscriptionService|Microsoft|http://www.opensource.org/licenses/ms-pl|http://entlib.codeplex.com/wikipage?title=EntLib5Azure
Microsoft.AspNet.WebApi.Owin|5.2.3|ImportFriendsService|Microsoft|http://www.microsoft.com/web/webpi/eula/net_library_eula_ENU.htm|http://www.asp.net/web-api
Microsoft.AspNet.WebApi.OwinSelfHost|5.2.3|ImportFriendsService|Microsoft|http://www.microsoft.com/web/webpi/eula/net_library_eula_ENU.htm|http://www.asp.net/web-api
Microsoft.Azure.SqlDatabase.ElasticScale.Client|1.3.2|ImportFriendsService, RequestService, SiteConfigService, SiteConfigService\HierarchyService, SiteConfigService\SetSiteConfigService, SiteConfigService\SiteConfigGetterService, SitesService, SubscriptionService|Microsoft|http://go.microsoft.com/?linkid=9862941|http://go.microsoft.com/?linkid=9862897
Microsoft.Owin|3.0.1|ImportFriendsService|Microsoft|http://www.microsoft.com/web/webpi/eula/net_library_eula_enu.htm|http://katanaproject.codeplex.com/
Microsoft.Owin.Diagnostics|3.0.1|ImportFriendsService|Microsoft|http://www.microsoft.com/web/webpi/eula/net_library_eula_enu.htm|http://katanaproject.codeplex.com/
Microsoft.Owin.Host.HttpListener|3.0.1|ImportFriendsService|Microsoft|http://www.microsoft.com/web/webpi/eula/net_library_eula_enu.htm|http://katanaproject.codeplex.com/
Microsoft.Owin.Hosting|3.0.1|ImportFriendsService|Microsoft|http://www.microsoft.com/web/webpi/eula/net_library_eula_enu.htm|http://katanaproject.codeplex.com/
Microsoft.Owin.SelfHost|3.0.1|ImportFriendsService|Microsoft|http://www.microsoft.com/web/webpi/eula/net_library_eula_enu.htm|http://katanaproject.codeplex.com/
Microsoft.VisualStudio.Threading|14.1.131|ImportFriendsService, RequestService, SitesService, SubscriptionService|Microsoft|http://go.microsoft.com/fwlink/?LinkId=717918|http://aka.ms/vsextensibility
Microsoft.VisualStudio.Validation|14.1.111|ImportFriendsService, RequestService, SitesService, SubscriptionService|Microsoft|http://go.microsoft.com/fwlink/?LinkID=614949|http://aka.ms/VsExtensibility
Owin|1.0.0|ImportFriendsService|OWIN startup components contributors|https://github.com/owin-contrib/owin-hosting/blob/master/LICENSE.txt|https://github.com/owin-contrib/owin-hosting/
FluentValidation|7.0.3|IndexCreationService, PolicyService|Jeremy Skinner|https://github.com/JeremySkinner/FluentValidation/blob/master/License.txt|http://github.com/JeremySkinner/fluentvalidation
BenchmarkDotNet|0.10.3|Infrastructure|.NET Foundation and contributors|https://github.com/dotnet/BenchmarkDotNet/blob/master/LICENSE.md|https://github.com/dotnet/BenchmarkDotNet
BenchmarkDotNet.Core|0.10.3|Infrastructure|.NET Foundation and contributors|https://github.com/dotnet/BenchmarkDotNet/blob/master/LICENSE.md|https://github.com/dotnet/BenchmarkDotNet
BenchmarkDotNet.Toolchains.Roslyn|0.10.3|Infrastructure|.NET Foundation and contributors|https://github.com/dotnet/BenchmarkDotNet/blob/master/LICENSE.md|https://github.com/dotnet/BenchmarkDotNet
InfluxDB.Net-Main|1.0.45|Infrastructure|Ziya SARIKAYA,  Daniel Bohlin|https://github.com/ziyasal/InfluxDB.Net/blob/master/LICENSE|https://github.com/ziyasal/InfluxDB.Net
KafkaNetClient|1.0.2|Infrastructure, NotificationsService|Gigya Inc|https://github.com/gigya/KafkaNetClient/blob/master/LICENSE|https://github.com/gigya/KafkaNetClient
Microsoft.Net.Http|2.2.29|Infrastructure|Microsoft|http://go.microsoft.com/fwlink/?LinkId=329770|http://go.microsoft.com/fwlink/?LinkID=280055
Ninject.MockingKernel|3.2.2|Infrastructure, microdot, ReportsService|Ninject Project Contributors|https://github.com/ninject/ninject.mockingkernel/raw/master/LICENSE.txt|http://www.ninject.org/
Ninject.MockingKernel.NSubstitute|3.2.2|Infrastructure, microdot, ReportsService|Ninject Project Contributors|https://github.com/ninject/ninject.mockingkernel/raw/master/LICENSE.txt|http://www.ninject.org/
NuGet.CommandLine|4.1.0|Infrastructure, microdot|Microsoft|https://raw.githubusercontent.com/NuGet/NuGet.Client/dev/LICENSE.txt|https://github.com/NuGet/NuGet.Client
Orleans.KafkaStreamProvider|1.2.2-pre002|Infrastructure, NotificationsService|Gigya inc||https://github.com/gigya/Orleans.KafkaStreamProvider
RFC3394|1.0.0|KeyEncryptionService|Jay Miller|http://creativecommons.org/publicdomain/zero/1.0|http://cryptofreak.org/projects/rfc3394
NLog|4.4.11|microdot|Kim Christensen, Julian Verdurmen|http://raw.github.com/NLog/NLog/master/LICENSE.txt|http://nlog-project.org/
Uncodium.ConsistentHashRing|1.0.1|NotificationsService|Stefan Maierhofer|http://opensource.org/licenses/Apache-2.0|
Microsoft.Web.Services2|2.0.3|OpenIdRPService|Microsoft||http://msdn.microsoft.com/en-us/library/aa894200.aspx
MongoDB.Bson|2.4.4|PasswordService, SamlSpService, UserIdService|MongoDB,  Inc.|http://www.apache.org/licenses/LICENSE-2.0|http://www.mongodb.org/display/DOCS/CSharp+Language+Center
MongoDB.Driver|2.4.4|PasswordService, SamlSpService, UserIdService|MongoDB,  Inc.|http://www.apache.org/licenses/LICENSE-2.0|http://www.mongodb.org/display/DOCS/CSharp+Language+Center
MongoDB.Driver.Core|2.4.4|PasswordService, SamlSpService, UserIdService|MongoDB,  Inc.|http://www.apache.org/licenses/LICENSE-2.0|http://www.mongodb.org/display/DOCS/CSharp+Language+Center
IPAddressRange|1.6.2.7|RBAService|J.Sakamoto|https://github.com/jsakamoto/ipaddressrange/blob/master/LICENSE|https://github.com/jsakamoto/ipaddressrange
MaxMind.Db|2.2.0|RBAService|MaxMind.Db|https://github.com/maxmind/MaxMind-DB-Reader-dotnet/blob/master/LICENSE|https://github.com/maxmind/MaxMind-DB-Reader-dotnet
MaxMind.GeoIP2|2.6.0-beta3|RBAService|MaxMind,  Inc.|http://www.apache.org/licenses/LICENSE-2.0.html|https://github.com/maxmind/GeoIP2-dotnet
MediatR|2.1.0|RBAService|Jimmy Bogard|https://github.com/jbogard/MediatR/blob/master/LICENSE|https://github.com/jbogard/MediatR
Nancy|1.4.3|RBAService|Andreas Håkansson,  Steven Robbins and contributors|https://github.com/NancyFx/Nancy/blob/master/license.txt|http://nancyfx.org/
Nancy.Hosting.Self|1.4.1|RBAService|Andreas Håkansson,  Steven Robbins and contributors|https://github.com/NancyFx/Nancy/blob/master/license.txt|http://nancyfx.org/
PactNet|1.3.0|RBAService|seek.com.au|https://github.com/SEEK-Jobs/pact-net/blob/master/LICENSE.txt|https://github.com/SEEK-Jobs/pact-net
NUnit3TestAdapter|3.7.0|SessionService|Charlie Poole|http://nunit.org/nuget/nunit3-license.txt|https://github.com/nunit/docs/wiki/VS-Adapter
Microsoft.Orleans.OrleansTelemetryConsumers.Counters|1.3.1|SocialService, UserIdService, UserManagement|Microsoft|https://github.com/dotnet/Orleans#license|https://github.com/dotnet/Orleans
PhantomJS|1.9.7|SocialService|Ariya Hidayat|http://www.opensource.org/licenses/bsd-license.php|http://phantomjs.org/
Selenium.WebDriver|2.48.0|SocialService|Selenium Committers|http://www.apache.org/licenses/LICENSE-2.0|http://code.google.com/p/selenium/
GoogleAuthenticator|1.2.1|TFAProvidersService|Brandon Potter||http://github.com/brandonpotter/GoogleAuthenticator
libphonenumber-csharp|7.0.11|TFAProvidersService|Patrick Mézard, Aidan Bebbington, Google, libphonenumber contributors|http://www.apache.org/licenses/LICENSE-2.0|https://github.com/aidanbebbington/libphonenumber-csharp/tree/master
RestSharp|105.2.2|TFAProvidersService|John Sheehan,  RestSharp Community|https://github.com/restsharp/RestSharp/blob/master/LICENSE.txt|http://restsharp.org/
Metrics|1.0.13|UserManagement|Daniel Crenna|https://github.com/danielcrenna/metrics-net/blob/master/LICENSE|http://github.com/danielcrenna/metrics-net
Modernizr|2.8.3|UserManagement|Faruk Ateş,  Paul Irish,  Alex Sexton|http://www.modernizr.com/license/|http://www.modernizr.com/
Respond|1.4.2|UserManagement|Scott Jehl, Paul Irish, Nicholas Zakas|https://github.com/scottjehl/Respond/blob/master/LICENSE-MIT|https://github.com/scottjehl/Respond
